序号,股票代码,股票简称,报告名称,东财评级,机构,近一月个股研报数,2026-盈利预测-收益,2026-盈利预测-市盈率,2027-盈利预测-收益,2027-盈利预测-市盈率,2028-盈利预测-收益,2028-盈利预测-市盈率,行业,日期,报告PDF链接,sample_stock_code
1,000001,平安银行,2025年报及2026一季报点评：收入利润增速均回正,中性,国信证券,0,2.08,5.3,2.09,5.3,2.11,5.2,银行Ⅱ,2026-04-26,https://pdf.dfcfw.com/pdf/H3_AP202604261821586763_1.pdf,000001
2,000001,平安银行,2025年报点评：资产质量压力减轻,中性,国信证券,0,2.08,5.2,2.09,5.1,2.11,5.1,银行Ⅱ,2026-03-22,https://pdf.dfcfw.com/pdf/H3_AP202603221820687530_1.pdf,000001
3,000001,平安银行,2025年三季报点评：三季度息差阶段企稳，资产质量总体平稳,买入,东兴证券,0,2.24,5.17,2.32,4.98,,,银行Ⅱ,2025-10-28,https://pdf.dfcfw.com/pdf/H3_AP202510281770514161_1.pdf,000001
4,000001,平安银行,2025年三季报点评：息差环比回升，资产质量平稳,中性,国信证券,0,2.04,5.7,2.07,5.6,,,银行Ⅱ,2025-10-26,https://pdf.dfcfw.com/pdf/H3_AP202510261769278155_1.pdf,000001
5,000001,平安银行,2025年半年报点评：盈利降幅收窄，零售资产质量改善,买入,东兴证券,0,2.24,5.56,2.32,5.37,,,银行Ⅱ,2025-08-27,https://pdf.dfcfw.com/pdf/H3_AP202508271735342281_1.pdf,000001
1,600519,贵州茅台,2025年年报及2026年一季报点评：顺势出清舒缓压力巩固优势稳健前行,买入,诚通证券,0,66.68,19.8,69.43,19.1,72.56,18.2,白酒Ⅱ,2026-05-25,https://pdf.dfcfw.com/pdf/H3_AP202605251822844635_1.pdf,600519
2,600519,贵州茅台,公司事件点评报告：i茅台持续发力，改革效果初显,买入,华鑫证券,0,68.71,20.2,73.01,19.0,78.25,17.7,白酒Ⅱ,2026-05-05,https://pdf.dfcfw.com/pdf/H3_AP202605051821970230_1.pdf,600519
3,600519,贵州茅台,点评报告：业绩稳健增长，直销收入首次超越代理渠道,增持,万联证券,0,68.83,20.39,74.75,18.77,80.44,17.44,白酒Ⅱ,2026-04-29,https://pdf.dfcfw.com/pdf/H3_AP202604291821727471_1.pdf,600519
4,600519,贵州茅台,公司信息更新报告：大单品放量价稳，触底信号明确,买入,开源证券,0,68.02,21.4,71.6,20.4,74.56,19.6,白酒Ⅱ,2026-04-28,https://pdf.dfcfw.com/pdf/H3_AP202604281821686501_1.pdf,600519
5,600519,贵州茅台,渠道重构落地，改革初现成效,买入,山西证券,0,68.19,21.4,71.7,20.3,75.27,19.4,白酒Ⅱ,2026-04-28,https://pdf.dfcfw.com/pdf/H3_AP202604281821665969_1.pdf,600519
